START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
8/9/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,8/9/2015,8/9/2015,4:08 PM,4:08 PM
8/11/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,8/11/2015,8/11/2015,10:10 PM,10:10 PM
8/12/2015,4:10 PM,4:10 PM,Marlins,Marlins Park,8/12/2015,8/12/2015,7:10 PM,7:10 PM
8/14/2015,7:10 PM,7:10 PM,Mariners,Fenway Park,8/14/2015,8/14/2015,10:10 PM,10:10 PM
8/15/2015,3:33 AM,3:33 AM,Mariners,Fenway Park,8/15/2015,8/15/2015,6:33 AM,6:33 AM
8/16/2015,3:33 AM,3:33 AM,Mariners,Fenway Park,8/16/2015,8/16/2015,6:33 AM,6:33 AM
8/17/2015,7:10 PM,7:10 PM,Indians,Fenway Park,8/17/2015,8/17/2015,10:10 PM,10:10 PM
8/18/2015,7:10 PM,7:10 PM,Indians,Fenway Park,8/18/2015,8/18/2015,10:10 PM,10:10 PM
8/19/2015,7:10 PM,7:10 PM,Indians,Fenway Park,8/19/2015,8/19/2015,10:10 PM,10:10 PM
8/20/2015,7:10 PM,7:10 PM,Royals,Fenway Park,8/20/2015,8/20/2015,10:10 PM,10:10 PM
8/21/2015,7:10 PM,7:10 PM,Royals,Fenway Park,8/21/2015,8/21/2015,10:10 PM,10:10 PM
8/22/2015,3:33 AM,3:33 AM,Royals,Fenway Park,8/22/2015,8/22/2015,6:33 AM,6:33 AM
8/23/2015,3:33 AM,3:33 AM,Royals,Fenway Park,8/23/2015,8/23/2015,6:33 AM,6:33 AM
8/24/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,8/24/2015,8/24/2015,6:33 AM,6:33 AM
8/25/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,8/25/2015,8/25/2015,6:33 AM,6:33 AM
8/26/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,8/26/2015,8/26/2015,6:33 AM,6:33 AM
8/28/2015,7:10 PM,7:10 PM,Mets,Citi Field,8/28/2015,8/28/2015,10:10 PM,10:10 PM
8/29/2015,4:05 PM,4:05 PM,Mets,Citi Field,8/29/2015,8/29/2015,7:05 PM,7:05 PM
8/30/2015,1:10 PM,1:10 PM,Mets,Citi Field,8/30/2015,8/30/2015,4:10 PM,4:10 PM
8/31/2015,7:10 PM,7:10 PM,Yankees,Fenway Park,8/31/2015,8/31/2015,10:10 PM,10:10 PM
9/1/2015,7:10 PM,7:10 PM,Yankees,Fenway Park,9/1/2015,9/1/2015,10:10 PM,10:10 PM
9/2/2015,4:05 PM,4:05 PM,Yankees,Fenway Park,9/2/2015,9/2/2015,7:05 PM,7:05 PM
9/4/2015,7:10 PM,7:10 PM,Phillies,Fenway Park,9/4/2015,9/4/2015,10:10 PM,10:10 PM
9/5/2015,3:33 AM,3:33 AM,Phillies,Fenway Park,9/5/2015,9/5/2015,6:33 AM,6:33 AM
9/6/2015,3:33 AM,3:33 AM,Phillies,Fenway Park,9/6/2015,9/6/2015,6:33 AM,6:33 AM
9/7/2015,1:35 PM,1:35 PM,Blue Jays,Fenway Park,9/7/2015,9/7/2015,4:35 PM,4:35 PM
9/8/2015,7:10 PM,7:10 PM,Blue Jays,Fenway Park,9/8/2015,9/8/2015,10:10 PM,10:10 PM
9/9/2015,7:10 PM,7:10 PM,Blue Jays,Fenway Park,9/9/2015,9/9/2015,10:10 PM,10:10 PM
9/11/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,9/11/2015,9/11/2015,10:10 PM,10:10 PM
